image_path,L
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/IMG_7966.JPG,3.2643
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/IMG_7968.JPG,18.8423
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/IMG_7969.JPG,12.5020
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/IMG_7970.JPG,25.6084
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/IMG_7971.JPG,46.1299
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/IMG_7972.JPG,1.7046
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/IMG_7973.JPG,13.3289
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/IMG_7974.JPG,12.0231
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/IMG_7975.JPG,21.5091
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/IMG_7976.JPG,40.6401
